frequency_hz,power_db
100000000.00,-90.7400
100000976.56,-88.0118
100001953.12,-89.1683
100002929.69,-91.2363
100003906.25,-88.6557
100004882.81,-92.9001
100005859.38,-88.8130
100006835.94,-91.1237
100007812.50,-88.7371
100008789.06,-89.1218
100009765.62,-91.5345
100010742.19,-88.9433
100011718.75,-89.3161
100012695.31,-91.2923
100013671.88,-85.9977
100014648.44,-88.3961
100015625.00,-92.3641
100016601.56,-91.9760
100017578.12,-89.3663
100018554.69,-89.3759
100019531.25,-91.4537
100020507.81,-87.5682
100021484.38,-89.8060
100022460.94,-91.7254
100023437.50,-90.7492
100024414.06,-90.3576
100025390.62,-93.1066
100026367.19,-91.6644
100027343.75,-93.6198
100028320.31,-90.5871
100029296.88,-88.7747
100030273.44,-92.5717
100031250.00,-89.3558
100032226.56,-92.3653
100033203.12,-90.3273
100034179.69,-91.0323
100035156.25,-92.4244
100036132.81,-91.0982
100037109.38,-92.4509
100038085.94,-89.4130
100039062.50,-89.9076
100040039.06,-87.6001
100041015.62,-92.9265
100041992.19,-87.8144
100042968.75,-90.1575
100043945.31,-89.1893
100044921.88,-90.3769
100045898.44,-86.9061
100046875.00,-87.2280
100047851.56,-87.8630
100048828.12,-89.4811
100049804.69,-94.6756
100050781.25,-88.8873
100051757.81,-90.0655
100052734.38,-90.2679
100053710.94,-89.1309
100054687.50,-87.6131
100055664.06,-89.4655
100056640.62,-90.9329
100057617.19,-91.5555
100058593.75,-89.2599
100059570.31,-87.8029
100060546.88,-88.9040
100061523.44,-89.0843
100062500.00,-90.9020
100063476.56,-92.4718
100064453.12,-88.1079
100065429.69,-88.7873
100066406.25,-93.6552
100067382.81,-91.4344
100068359.38,-87.9973
100069335.94,-87.8644
100070312.50,-91.2818
100071289.06,-85.4931
100072265.62,-87.1965
100073242.19,-88.0894
100074218.75,-90.2554
100075195.31,-92.7825
100076171.88,-88.3790
100077148.44,-86.4430
100078125.00,-88.1721
100079101.56,-92.1558
100080078.12,-87.7226
100081054.69,-91.3298
100082031.25,-94.3961
100083007.81,-89.3596
100083984.38,-95.4206
100084960.94,-89.7739
100085937.50,-87.9760
100086914.06,-87.9231
100087890.62,-84.5582
100088867.19,-88.6605
100089843.75,-91.9666
100090820.31,-88.7690
100091796.88,-88.6416
100092773.44,-91.1652
100093750.00,-93.4999
100094726.56,-90.7474
100095703.12,-91.3888
100096679.69,-90.7932
100097656.25,-90.3758
100098632.81,-88.4921
100099609.38,-88.8088
100100585.94,-87.1481
100101562.50,-91.0503
100102539.06,-88.1898
100103515.62,-93.4886
100104492.19,-89.9487
100105468.75,-93.1699
100106445.31,-91.7690
100107421.88,-87.9126
100108398.44,-91.9027
100109375.00,-87.1203
100110351.56,-86.5665
100111328.12,-88.9259
100112304.69,-90.5988
100113281.25,-91.9648
100114257.81,-91.6740
100115234.38,-90.1410
100116210.94,-91.9833
100117187.50,-90.1824
100118164.06,-91.5578
100119140.62,-88.7708
100120117.19,-93.6659
100121093.75,-89.0346
100122070.31,-88.0894
100123046.88,-92.0070
100124023.44,-87.0587
100125000.00,-86.9355
100125976.56,-88.6206
100126953.12,-92.9845
100127929.69,-89.4594
100128906.25,-93.2201
100129882.81,-90.9113
100130859.38,-92.5195
100131835.94,-89.6868
100132812.50,-91.4923
100133789.06,-89.3254
100134765.62,-88.1585
100135742.19,-91.4101
100136718.75,-88.9191
100137695.31,-90.8213
100138671.88,-90.4438
100139648.44,-90.6093
100140625.00,-91.5010
100141601.56,-91.1395
100142578.12,-88.1811
100143554.69,-87.9174
100144531.25,-90.0750
100145507.81,-88.3348
100146484.38,-88.0229
100147460.94,-88.7006
100148437.50,-94.2161
100149414.06,-90.1676
100150390.62,-65.4773
100151367.19,-67.3872
100152343.75,-68.2040
100153320.31,-68.7112
100154296.88,-67.4455
100155273.44,-68.7391
100156250.00,-66.3138
100157226.56,-68.1903
100158203.12,-68.0177
100159179.69,-67.0414
100160156.25,-65.5618
100161132.81,-68.3090
100162109.38,-67.1075
100163085.94,-68.5573
100164062.50,-70.4098
100165039.06,-68.0086
100166015.62,-66.9199
100166992.19,-67.2899
100167968.75,-68.1825
100168945.31,-68.5192
100169921.88,-70.4574
100170898.44,-68.2635
100171875.00,-64.8396
100172851.56,-68.4630
100173828.12,-68.0804
100174804.69,-65.2300
100175781.25,-67.7703
100176757.81,-67.4998
100177734.38,-70.3040
100178710.94,-66.3710
100179687.50,-65.2488
100180664.06,-68.1214
100181640.62,-65.9068
100182617.19,-66.0588
100183593.75,-73.4642
100184570.31,-65.3169
100185546.88,-70.8051
100186523.44,-67.1430
100187500.00,-67.0976
100188476.56,-68.4744
100189453.12,-68.7220
100190429.69,-68.7645
100191406.25,-68.9452
100192382.81,-68.9087
100193359.38,-69.4515
100194335.94,-68.1951
100195312.50,-67.8016
100196289.06,-68.4105
100197265.62,-67.3950
100198242.19,-69.6542
100199218.75,-67.6417
100200195.31,-66.3937
100201171.88,-64.8767
100202148.44,-70.5391
100203125.00,-66.5013
100204101.56,-67.4765
100205078.12,-71.9185
100206054.69,-69.2601
100207031.25,-69.9963
100208007.81,-66.9737
100208984.38,-65.0608
100209960.94,-65.4955
100210937.50,-89.5187
100211914.06,-87.2541
100212890.62,-89.2294
100213867.19,-89.5602
100214843.75,-93.0310
100215820.31,-91.4474
100216796.88,-90.7396
100217773.44,-91.5407
100218750.00,-91.9731
100219726.56,-90.9528
100220703.12,-88.0158
100221679.69,-89.0990
100222656.25,-89.4710
100223632.81,-90.7190
100224609.38,-90.9056
100225585.94,-90.0636
100226562.50,-91.4849
100227539.06,-89.6682
100228515.62,-90.2923
100229492.19,-90.6110
100230468.75,-89.6893
100231445.31,-90.0691
100232421.88,-89.4772
100233398.44,-91.8983
100234375.00,-92.0130
100235351.56,-91.6851
100236328.12,-91.9856
100237304.69,-87.5621
100238281.25,-91.7719
100239257.81,-89.3614
100240234.38,-88.6992
100241210.94,-87.2586
100242187.50,-90.4901
100243164.06,-91.1840
100244140.62,-89.7322
100245117.19,-86.5517
100246093.75,-90.6164
100247070.31,-88.2752
100248046.88,-88.1791
100249023.44,-92.3593
100250000.00,-87.8280
100250976.56,-88.6201
100251953.12,-93.1527
100252929.69,-88.1650
100253906.25,-87.5896
100254882.81,-89.8947
100255859.38,-89.4845
100256835.94,-88.6284
100257812.50,-89.3757
100258789.06,-91.7377
100259765.62,-92.3685
100260742.19,-91.5091
100261718.75,-91.4723
100262695.31,-88.8137
100263671.88,-92.5493
100264648.44,-91.7180
100265625.00,-91.7694
100266601.56,-87.5874
100267578.12,-86.7026
100268554.69,-89.1566
100269531.25,-88.4504
100270507.81,-88.7383
100271484.38,-91.8948
100272460.94,-91.3505
100273437.50,-89.1097
